Attribute Name,AVP Code,Data Type
Acct-Interim-Interval,85,Unsigned32
Accounting-Realtime-Required,483,Enumerated
Acct-Multi-Session-Id,50,UTF8String
Accounting-Record-Number,485,Unsigned32
Accounting-Record-Type,480,Enumerated
Accounting-Session-Id,44,OctetString
Accounting-Sub-Session-Id,287,Unsigned64
Acct-Application-Id,259,Unsigned32
Auth-Application-Id,258,Unsigned32
Auth-Request-Type,274,Enumerated
Authorization-Lifetime,291,Unsigned32
Auth-Grace-Period,276,Unsigned32
Auth-Session-State,277,Enumerated
Re-Auth-Request-Type,285,Enumerated
Class,25,OctetString
Destination-Host,293,DiamIdent
Destination-Realm,283,DiamIdent
Disconnect-Cause,273,Enumerated
E2E-Sequence-AVP,300,Grouped
Error-Message,281,UTF8String
Error-Reporting-Host,294,DiamIdent
Event-Timestamp,55,Time
Experimental-Result,297,Grouped
Experimental-Result-Code,298,Unsigned32
Failed-AVP,279,Grouped
Firmware-Revision,267,Unsigned32
Host-IP-Address,257,Address
Inband-Security-Id,299,Unsigned32
Multi-Round-Time-Out,272,Unsigned32
Origin-Host,264,DiamIdent
Origin-Realm,296,DiamIdent
Origin-State-Id,278,Unsigned32
Product-Name,269,UTF8String
Proxy-Host,280,DiamIdent
Proxy-Info,284,Grouped
Proxy-State,33,OctetString
Redirect-Host,292,DiamURI
Redirect-Host-Usage,261,Enumerated
Redirect-Max-Cache-Time,262,Unsigned32
Result-Code,268,Unsigned32
Route-Record,282,DiamIdent
Session-Id,263,UTF8String
Session-Timeout,27,Unsigned32
Session-Binding,270,Unsigned32
Session-Server-Failover,271,Enumerated
Supported-Vendor-Id,265,Unsigned32
Termination-Cause,295,Enumerated
User-Name,1,UTF8String
Vendor-Id,266,Unsigned32
Vendor-Specific-Application-Id,260,Grouped
